institution,publication_date,sector,sector_name,raw_stance,normalized_score,source_title,source_url,notes
Charles Schwab,2026-05-29,XLE,Energy,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLF,Financials,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLI,Industrials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLK,Information Technology,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLP,Consumer Staples,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLRE,Real Estate,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLU,Utilities,Less Favored,-1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLV,Health Care,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLY,Consumer Discretionary,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-06-26,XLB,Materials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLC,Communication Services,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLE,Energy,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLF,Financials,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLI,Industrials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLK,Information Technology,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLP,Consumer Staples,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLRE,Real Estate,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLU,Utilities,Less Favored,-1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLV,Health Care,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-06-26,XLY,Consumer Discretionary,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=39cd110609d2699912d3077d08a268df,
Charles Schwab,2026-07-31,XLB,Materials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLC,Communication Services,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLE,Energy,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLF,Financials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLI,Industrials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLK,Information Technology,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLP,Consumer Staples,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLRE,Real Estate,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLU,Utilities,Less Favored,-1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLV,Health Care,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Charles Schwab,2026-07-31,XLY,Consumer Discretionary,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=0d426b1ad7c06f2b39ec7de3d63a6ed9,
Wells Fargo Investment Institute,2024-12-10,XLB,Materials,Neutral,0,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLC,Communication Services,Favorable,1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLE,Energy,Favorable,1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLF,Financials,Favorable,1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLI,Industrials,Favorable,1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLK,Information Technology,Neutral,0,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLP,Consumer Staples,Unfavorable,-1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLRE,Real Estate,Neutral,0,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLU,Utilities,Unfavorable,-1,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLV,Health Care,Neutral,0,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2024-12-10,XLY,Consumer Discretionary,Neutral,0,2025 Outlook: Charting the economy's next chapter,https://www.fa.wellsfargoadvisors.com/michele-kief/mediahandler/media/683631/outlook_report%202025.pdf,
Wells Fargo Investment Institute,2025-12-09,XLB,Materials,Neutral,0,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLC,Communication Services,Neutral,0,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLE,Energy,Neutral,0,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLF,Financials,Most Favorable,2,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLI,Industrials,Favorable,1,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLK,Information Technology,Neutral,0,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLP,Consumer Staples,Unfavorable,-1,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLRE,Real Estate,Neutral,0,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLU,Utilities,Favorable,1,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLV,Health Care,Unfavorable,-1,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2025-12-09,XLY,Consumer Discretionary,Unfavorable,-1,2026 Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/768653/2026%20Outlook%20Report.pdf,
Wells Fargo Investment Institute,2026-03-16,XLB,Materials,Neutral,0,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLC,Communication Services,Neutral,0,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLE,Energy,Neutral,0,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLF,Financials,Most Favorable,2,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLI,Industrials,Favorable,1,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLK,Information Technology,Neutral,0,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLP,Consumer Staples,Unfavorable,-1,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLRE,Real Estate,Neutral,0,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLU,Utilities,Favorable,1,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLV,Health Care,Unfavorable,-1,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-03-16,XLY,Consumer Discretionary,Unfavorable,-1,Asset Allocation Strategy Report,https://fa.wellsfargoadvisors.com/richmond-wm/mediahandler/media/794097/Asset%20Allocation%20Strategy%20PM-09122027-5294965.pdf,
Wells Fargo Investment Institute,2026-06-16,XLB,Materials,Favorable,1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLC,Communication Services,Neutral,0,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLE,Energy,Unfavorable,-1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLF,Financials,Most Favorable,2,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLI,Industrials,Favorable,1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLK,Information Technology,Favorable,1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLP,Consumer Staples,Unfavorable,-1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLRE,Real Estate,Unfavorable,-1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLU,Utilities,Favorable,1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLV,Health Care,Neutral,0,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
Wells Fargo Investment Institute,2026-06-16,XLY,Consumer Discretionary,Unfavorable,-1,2026 Midyear Outlook,https://fa.wellsfargoadvisors.com/matthew-pirollo/mediahandler/media/813348/2026%20Midyear%20Outlook.pdf,
